driverType,driverVIN,driverMedallion,driverName,driverCabYear,driverCabMake,driverCabModel,driverDMVLicense,driverCompany,driverCompanyPhone
Y,,6647,R & J CAB CO,2011,FORD,ESCAPE HYBRID N ,,,
Y,,6648,R & J CAB CO,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6649,JNR III INC.,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6651,CARILLON TRANSIT LLC,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6656,CARROLL AVENUE TAXI CORP.,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6657,LAKESHORE EXPRESS INC.,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6664,CHICAGO MEDALLION ELEVEN L.L.C.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6674,WARSAN CAB COMPANY,2012,DODGE,GRAND CARAVAN FLEX_FUEL N ,,,
Y,,6675,SAALA INC,2009,DODGE,CARAVAN FLEX_FUEL N ,,,
Y,,6676,ALMAHDI INC,2012,DODGE,CARAVAN GASOLINE N ,,,
Y,,6678,EMPIRE TAXI INCORPORATED,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,6679,EMPIRE TAXI INCORPORATED,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6680,BOLTSAM TAXI CORP,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,6690,RW CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6704,CARILLON TRANSIT LLC,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,6718,ACS EXPRESS INC.,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6722,A C T Z CORPORATION,2010,DODGE,GRAND CARAVAN GASOLINE Y ,,,
Y,,6723,"FRAN, INC.",2010,DODGE,GRAND CARAVAN GASOLINE Y ,,,
Y,,6755,"JOY CAB CO., INC.",2008,CHEVROLET,UPLANDER GASOLINE Y ,,,
Y,,6756,8TH AVENUE TAXI CORP.,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6758,SACHEDINA ENT INC.,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,6760,AKIAVI INC.,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6761,SALMA & YOUSEF CAB INC.,2014,DODGE,GRAND CARAVAN FLEX_FUEL N ,,,
Y,,6766,SUCCESS CAB CORP,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,6767,SUCCESS CAB CORP,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6768,SUCCESS CAB CORP,2011,TOYOTA,CAMRY GASOLINE N ,,,
Y,,6769,SUCCESS CAB CORP,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6770,SUCCESS CAB CORP,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6771,RULE CAB CORP,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6772,RULE CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6773,RULE CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6774,RULE CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6775,RULE CAB CORP SURRENDER,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6776,WINNERS CAB CORP,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6777,WINNERS CAB CORP,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6778,WINNERS CAB CORP,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6779,WINNERS CAB CORP,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6781,WINNERS CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6896,SHAZIF CAB CORP.,2013,DODGE,CARAVAN FLEX_FUEL Y ,,,
Y,,6897,SHAZIF CAB CORP.,2013,DODGE,GRAND CARAVAN FLEX_FUEL Y ,,,
Y,,6898,SHAZIF CAB CORP.,2013,DODGE,GRAND CARAVAN HYBRID Y ,,,
Y,,6899,SHAZIF CAB CORP.,2013,DODGE,GRAND CARAVAN FLEX_FUEL Y ,,,
Y,,6901,RIVERSIDE TAXI CORP,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,6911,ABK OSTRICH CORP,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,6917,AL-MADINA CAB CORP,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,6930,ASHLAND AVENUE TAXI CORP.,2009,TOYOTA,CAMRY HYBRID N ,,,
Y,,6934,AAA TAXI INC,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6935,S. AND C. TAXI INC.,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6936,AAA TAXI INC,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6937,CHICAGO RUNNERS INC,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6938,CHICAGO RUNNERS INC,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6939,CHICAGO RUNNERS INC,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6940,LUCKY WINNER INC,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6941,S. AND C. TAXI INC.,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,6942,LUCKY WINNER INC,2011,NISSAN,ALTIMA GASOLINE N ,,,
Y,,6943,HYMES TAXI CORP.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6947,EYAD CAB CO,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,6952,AKYOU CORPORATION,2012,DODGE,GRAND CARAVAN GASOLINE Y ,,,
Y,,6955,MIRZASULEMAN CORP,2013,DODGE,GRAND CARAVAN CNG Y ,,,
Y,,12,GOLD COAST TAXI LLC,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,45,DOVE TAXI CORP.,2009,NISSAN,ALTIMA HYBRID N ,,,
Y,,57,OIA CAB CORP.,2009,NISSAN,ALTIMA HYBRID N ,,,
Y,,72,FRAPPE TAXI LLC,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,98,TENNIS TAXI LLC,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,108,TENNIS TAXI LLC,2011,NISSAN,ALTIMA HYBRID N ,,,
